Index,Premise,Original Word,Best Synonym
439,A woman is planting some flowers,woman,fair_sex
439,A woman is planting some flowers,.,A fair_sex is planting some flowers 
440,A woman is cutting some plants,woman,fair_sex
440,A woman is cutting some plants,.,A fair_sex is cutting some plants 
441,A woman is cutting some flowers,woman,fair_sex
441,A woman is cutting some flowers,.,A fair_sex is cutting some flowers 
442,There is no woman cutting an onion,None,None
443,A white horse is standing,horse,cavalry
443,A white horse is standing,.,A white cavalry is standing 
444,A horse is running,horse,cavalry
444,A horse is running,.,A cavalry is running 
445,A cat is playing a piano,cat,guy
445,A cat is playing a piano,.,A guy is playing a piano 
446,A man is playing two keyboards,man,human_being
446,A man is playing two keyboards,.,A human_being is playing two keyboards 
447,Two men are leaving the stage,men,man
447,Two men are leaving the stage,.,Two man are leaving the stage 
448,The men are acting on a stage,men,man
448,The men are acting on a stage,.,The man are acting on a stage 
449,Two men are leaving the stage,men,man
449,Two men are leaving the stage,.,Two man are leaving the stage 
450,The men are performing on stage,men,man
450,The men are performing on stage,.,The man are performing on stage 
451,A man is dropping a tree,man,human_being
451,A man is dropping a tree,.,A human_being is dropping a tree 
452,A man is planting a tree,man,human_being
452,A man is planting a tree,.,A human_being is planting a tree 
453,A man is picking up a tree,man,human_being
453,A man is picking up a tree,.,A human_being is picking up a tree 
454,A person is listening to a trumpet playing,person,individual
454,A person is listening to a trumpet playing,.,A individual is listening to a trumpet playing 
455,A man is playing the guitar,man,human_being
455,A man is playing the guitar,.,A human_being is playing the guitar 
456,A person is playing a trumpet,person,individual
456,A person is playing a trumpet,.,A individual is playing a trumpet 
457,A person is playing a trumpet,person,individual
457,A person is playing a trumpet,.,A individual is playing a trumpet 
458,A man is playing the guitar owner,man,human_being
458,A man is playing the guitar owner,.,A human_being is playing the guitar owner 
459,The chef is carefully pouring oil in the pan,chef,
459,The chef is carefully pouring oil in the pan,.,The chef is carefully pouring oil in the pan
460,A man is pouring liquid into a pot,man,human_being
460,A man is pouring liquid into a pot,.,A human_being is pouring liquid into a pot 
461,A man is pouring liquid into a pot,man,human_being
461,A man is pouring liquid into a pot,.,A human_being is pouring liquid into a pot 
462,The man is cautiously operating a stenograph,man,human_being
462,The man is cautiously operating a stenograph,.,The human_being is cautiously operating a stenograph 
463,A poor man is being fed snakes and mice,None,None
464,The man is playing a piano,man,human_being
464,The man is playing a piano,.,The human_being is playing a piano 
465,The man is playing a piano,man,human_being
465,The man is playing a piano,.,The human_being is playing a piano 
466,A person is bowling the ingredients to the man at the mixer,person,individual
466,A person is bowling the ingredients to the man at the mixer,.,A individual is bowling the ingredients to the man at the mixer 
467,A woman is breaking two eggs in a bowl,woman,fair_sex
467,A woman is breaking two eggs in a bowl,.,A fair_sex is breaking two eggs in a bowl 
468,Some ingredients are being mixed in a bowl by a person,None,None
469,A woman is breaking two eggs in a bowl,woman,fair_sex
469,A woman is breaking two eggs in a bowl,.,A fair_sex is breaking two eggs in a bowl 
470,The girl is recklessly jumping onto a car,girl,daughter
470,The girl is recklessly jumping onto a car,.,The daughter is recklessly jumping onto a car 
471,A girl is on a jumping car,girl,daughter
471,A girl is on a jumping car,.,A daughter is on a jumping car 
472,The girl is recklessly jumping onto a vehicle,girl,daughter
472,The girl is recklessly jumping onto a vehicle,.,The daughter is recklessly jumping onto a vehicle 
473,The girl isn't jumping onto the car recklessly,girl,daughter
473,The girl isn't jumping onto the car recklessly,.,The daughter is n't jumping onto the car recklessly 
474,A car is riskily jumping over a girl,car,automobile
474,A car is riskily jumping over a girl,.,A automobile is riskily jumping over a girl 
475,A woman is throwing a potato peel,woman,fair_sex
475,A woman is throwing a potato peel,.,A fair_sex is throwing a potato peel 
476,A boat is sailing peacefully over the water,boat,sauceboat
476,A boat is sailing peacefully over the water,.,A sauceboat is sailing peacefully over the water 
477,The guitar is being played by nobody,None,None
478,A boat is sailing quietly over the water,boat,sauceboat
478,A boat is sailing quietly over the water,.,A sauceboat is sailing quietly over the water 
479,A boat's sail is being reflected by the peaceful water,None,None
480,The man is pouring some oil on the tomatoes,man,human_being
480,The man is pouring some oil on the tomatoes,.,The human_being is pouring some oil on the tomatoes 
481,There is no kitten drinking milk,None,None
482,A man is carelessly holding a frog,man,human_being
482,A man is carelessly holding a frog,.,A human_being is carelessly holding a frog 
483,A man is emptying a container made of plastic,man,human_being
483,A man is emptying a container made of plastic,.,A human_being is emptying a container made of plastic 
484,A man is emptying a container made of plastic,man,human_being
484,A man is emptying a container made of plastic,.,A human_being is emptying a container made of plastic 
485,A man is eating onion slices,man,human_being
485,A man is eating onion slices,.,A human_being is eating onion slices 
486,An onion is being cut by a man,None,None
487,A man is recklessly riding a horse,man,human_being
487,A man is recklessly riding a horse,.,A human_being is recklessly riding a horse 
488,A man is recklessly riding a horse,man,human_being
488,A man is recklessly riding a horse,.,A human_being is recklessly riding a horse 
489,The piano is being played by someone,None,None
490,A flute is being played by a girl,None,None
491,A flute is being played by a girl,None,None
492,A boy is happily playing the piano,boy,son
492,A boy is happily playing the piano,.,A son is happily playing the piano 
493,A boy is happily playing the piano,boy,son
493,A boy is happily playing the piano,.,A son is happily playing the piano 
494,A piano is being played by a man,None,None
495,A boy is happily playing the piano,boy,son
495,A boy is happily playing the piano,.,A son is happily playing the piano 
496,A cheetah is chasing its prey across a field,cheetah,Acinonyx_jubatus
496,A cheetah is chasing its prey across a field,.,A Acinonyx_jubatus is chasing its prey across a field 
497,A cheetah is shaken off by its prey across a field.,None,None
498,A lion is tiring the whole pen by pacing,lion,Lion
498,A lion is tiring the whole pen by pacing,.,A Lion is tiring the whole pen by pacing 
499,There is no man playing the guitar loudly,None,None
500,The loud man is not allowed to play the guitar,None,None
501,A man is playing the guitar loudly,man,human_being
501,A man is playing the guitar loudly,.,A human_being is playing the guitar loudly 
502,The person is dicing up a pepper which is orange,person,individual
502,The person is dicing up a pepper which is orange,.,The individual is dicing up a pepper which is orange 
503,Some bells are ringing near a cook slicing peppers,bells,bell
503,Some bells are ringing near a cook slicing peppers,.,Some bell are ringing near a cook slicing peppers 
504,A cook is slicing some bell peppers,cook,Captain_James_Cook
504,A cook is slicing some bell peppers,.,A Captain_James_Cook is slicing some bell peppers 
505,The person isn't dicing up an orange pepper,person,individual
505,The person isn't dicing up an orange pepper,.,The individual is n't dicing up an orange pepper 
506,The person is dicing up a pepper which is orange,person,individual
506,The person is dicing up a pepper which is orange,.,The individual is dicing up a pepper which is orange 
507,A girl is cutting butter into two pieces,girl,daughter
507,A girl is cutting butter into two pieces,.,A daughter is cutting butter into two pieces 
508,The girl, who is little, is combing her hair into a pony tail.,girl,daughter
508,The girl, who is little, is combing her hair into a pony tail.,.,The daughter , who is little , is combing her hair into a pony tail . 
509,A girl is combing the hair of a little pony's tail,girl,daughter
509,A girl is combing the hair of a little pony's tail,.,A daughter is combing the hair of a little pony 's tail 
510,The girl, who is little, is combing her hair into a pony tail.,girl,daughter
510,The girl, who is little, is combing her hair into a pony tail.,.,The daughter , who is little , is combing her hair into a pony tail . 
511,The girl, who is little, is carefully combing her hair into a pony tail,girl,daughter
511,The girl, who is little, is carefully combing her hair into a pony tail,.,The daughter , who is little , is carefully combing her hair into a pony tail 
512,One man is sitting on the chair,man,human_being
512,One man is sitting on the chair,.,One human_being is sitting on the chair 
513,A man is removing the butter from a piece of bread which is big,man,human_being
513,A man is removing the butter from a piece of bread which is big,.,A human_being is removing the butter from a piece of bread which is big 
514,The man is carelessly smearing butter on a slice of garlic bread,man,human_being
514,The man is carelessly smearing butter on a slice of garlic bread,.,The human_being is carelessly smearing butter on a slice of garlic bread 
515,Some kittens are hungry,kittens,kitten
515,Some kittens are hungry,.,Some kitten are hungry 
516,A man is eating near the kittens,man,human_being
516,A man is eating near the kittens,.,A human_being is eating near the kittens 
517,Some kittens are hungry,kittens,kitten
517,Some kittens are hungry,.,Some kitten are hungry 
518,A person is singing and playing the guitar,person,individual
518,A person is singing and playing the guitar,.,A individual is singing and playing the guitar 
519,A man is putting away a guitar,man,human_being
519,A man is putting away a guitar,.,A human_being is putting away a guitar 
520,A man is passionately playing a guitar,man,human_being
520,A man is passionately playing a guitar,.,A human_being is passionately playing a guitar 
521,A person is singing and playing the guitar,person,individual
521,A person is singing and playing the guitar,.,A individual is singing and playing the guitar 
522,A few animals are playing in the water,animals,animal
522,A few animals are playing in the water,.,A few animal are playing in the water 
523,Two people are playing ping pong,people,mass
523,Two people are playing ping pong,.,Two mass are playing ping pong 
524,Two people are playing ping pong,people,mass
524,Two people are playing ping pong,.,Two mass are playing ping pong 
525,The man is driving a car,man,human_being
525,The man is driving a car,.,The human_being is driving a car 
526,The man is driving a car,man,human_being
526,The man is driving a car,.,The human_being is driving a car 
527,The windows are being cleaned by a man,None,None
528,The woman is pouring oil into a skillet,woman,fair_sex
528,The woman is pouring oil into a skillet,.,The fair_sex is pouring oil into a skillet 
529,The woman is pouring oil into a skillet,woman,fair_sex
529,The woman is pouring oil into a skillet,.,The fair_sex is pouring oil into a skillet 
530,The baby is being put into a trash can by a woman,None,None
531,A person is taking away the meat in the skillet,person,individual
531,A person is taking away the meat in the skillet,.,A individual is taking away the meat in the skillet 
532,A person is putting meat into a skillet,person,individual
532,A person is putting meat into a skillet,.,A individual is putting meat into a skillet 
533,The baby is being put into a trash can by a woman,None,None
534,The kitten is eagerly drinking some milk from the bowl,kitten,kitty
534,The kitten is eagerly drinking some milk from the bowl,.,The kitty is eagerly drinking some milk from the bowl 
535,The kitten is eagerly drinking some milk from the bowl,kitten,kitty
535,The kitten is eagerly drinking some milk from the bowl,.,The kitty is eagerly drinking some milk from the bowl 
536,The singer is leaving the band,singer,vocalist
536,The singer is leaving the band,.,The vocalist is leaving the band 
537,A woman is putting on makeup carefully,woman,fair_sex
537,A woman is putting on makeup carefully,.,A fair_sex is putting on makeup carefully 
538,A woman is putting on makeup carefully,woman,fair_sex
538,A woman is putting on makeup carefully,.,A fair_sex is putting on makeup carefully 
539,The singer is playing the guitar at an acoustic concert for a woman,singer,vocalist
539,The singer is playing the guitar at an acoustic concert for a woman,.,The vocalist is playing the guitar at an acoustic concert for a woman 
540,The woman is playing a guitar, which is acoustic, and singing,woman,fair_sex
540,The woman is playing a guitar, which is acoustic, and singing,.,The fair_sex is playing a guitar , which is acoustic , and singing 
541,A truck is quickly going down a hill,truck,hand_truck
541,A truck is quickly going down a hill,.,A hand_truck is quickly going down a hill 
542,A truck is quickly going down a hill,truck,hand_truck
542,A truck is quickly going down a hill,.,A hand_truck is quickly going down a hill 
543,Some water is being drunk by a cat,water,urine
543,Some water is being drunk by a cat,.,Some urine is being drunk by a cat 
544,The man is intensely playing the guitar,man,human_being
544,The man is intensely playing the guitar,.,The human_being is intensely playing the guitar 
545,A girl is playing the guitar,girl,daughter
545,A girl is playing the guitar,.,A daughter is playing the guitar 
546,The intense man is a guitar player,man,human_being
546,The intense man is a guitar player,.,The intense human_being is a guitar player 
547,The man is intensely playing the guitar,man,human_being
547,The man is intensely playing the guitar,.,The human_being is intensely playing the guitar 
548,A girl is playing the guitar,girl,daughter
548,A girl is playing the guitar,.,A daughter is playing the guitar 
549,A man is parking a motorbike,man,human_being
549,A man is parking a motorbike,.,A human_being is parking a motorbike 
550,A man is riding a motorbike,man,human_being
550,A man is riding a motorbike,.,A human_being is riding a motorbike 
551,The horse is being ridden by a man,None,None
552,The horse is being ridden by a man,None,None
553,A motorbike rider is running over a man ,rider,passenger
553,A motorbike rider is running over a man ,.,A motorbike passenger is running over a man 
554,A man is riding the animal,man,human_being
554,A man is riding the animal,.,A human_being is riding the animal 
555,The man is on the ride with the horse,man,human_being
555,The man is on the ride with the horse,.,The human_being is on the ride with the horse 
556,The man is doing a magic trick,man,human_being
556,The man is doing a magic trick,.,The human_being is doing a magic trick 
557,A man is dangerously throwing knives at a tree,man,human_being
557,A man is dangerously throwing knives at a tree,.,A human_being is dangerously throwing knives at a tree 
558,A man is dangerously throwing knives at the tree,man,human_being
558,A man is dangerously throwing knives at the tree,.,A human_being is dangerously throwing knives at the tree 
559,A man is dangerously throwing knives at a tree,man,human_being
559,A man is dangerously throwing knives at a tree,.,A human_being is dangerously throwing knives at a tree 
560,A man is dangerously throwing knives at a tree,man,human_being
560,A man is dangerously throwing knives at a tree,.,A human_being is dangerously throwing knives at a tree 
561,The kid, who is doing magic, is tricking an old man,kid,child
561,The kid, who is doing magic, is tricking an old man,.,The child , who is doing magic , is tricking an old man 
562,The guitar is being played by a lady,None,None
563,The guitar is being played by a lady,None,None
564,The practicing person doesn't like the guitar,person,individual
564,The practicing person doesn't like the guitar,.,The practicing individual does n't like the guitar 
565,The person is practicing the guitar,person,individual
565,The person is practicing the guitar,.,The individual is practicing the guitar 
566,The person is practicing the guitar,person,individual
566,The person is practicing the guitar,.,The individual is practicing the guitar 
567,A cat is playing with a device,cat,guy
567,A cat is playing with a device,.,A guy is playing with a device 
568,The boy is playing in the mud,boy,son
568,The boy is playing in the mud,.,The son is playing in the mud 
569,A cat is playing with a device,cat,guy
569,A cat is playing with a device,.,A guy is playing with a device 
570,A cat is playing with a device,cat,guy
570,A cat is playing with a device,.,A guy is playing with a device 
571,A cat is playing with a device,cat,guy
571,A cat is playing with a device,.,A guy is playing with a device 
572,The woman is eating some cut pieces of raw meat,woman,fair_sex
572,The woman is eating some cut pieces of raw meat,.,The fair_sex is eating some cut pieces of raw meat 
573,Some meat is being stitched together by a woman,None,None
574,A boy in his teens is talking to a girl with a webcam,boy,son
574,A boy in his teens is talking to a girl with a webcam,.,A son in his teens is talking to a girl with a webcam 
575,A man is ignoring a girl via an internet camera,man,human_being
575,A man is ignoring a girl via an internet camera,.,A human_being is ignoring a girl via an internet camera 
576,A man is ignoring a girl via an internet camera,man,human_being
576,A man is ignoring a girl via an internet camera,.,A human_being is ignoring a girl via an internet camera 
577,One man is talking to a girl with an internet camera,man,human_being
577,One man is talking to a girl with an internet camera,.,One human_being is talking to a girl with an internet camera 
578,One man is talking to a girl with an internet camera,man,human_being
578,One man is talking to a girl with an internet camera,.,One human_being is talking to a girl with an internet camera 
579,A person is strongly whisking eggs in a bowl,person,individual
579,A person is strongly whisking eggs in a bowl,.,A individual is strongly whisking eggs in a bowl 
580,A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk ,woman,fair_sex
580,A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk ,.,A fair_sex is beating the man that is keeping two eggs in the bowl , using a wire whisk 
581,A person is strongly whisking eggs in a bowl,person,individual
581,A person is strongly whisking eggs in a bowl,.,A individual is strongly whisking eggs in a bowl 
582,A woman is beating two eggs in a bowl and using a whisk made of wire,woman,fair_sex
582,A woman is beating two eggs in a bowl and using a whisk made of wire,.,A fair_sex is beating two eggs in a bowl and using a whisk made of wire 
583,The interviewer is granting a break to the man,interviewer,
583,The interviewer is granting a break to the man,.,The interviewer is granting a break to the man
584,The man is granting an interview,man,human_being
584,The man is granting an interview,.,The human_being is granting an interview 
585,A white car is being driven by the man,None,None
586,The man is denying an interview,man,human_being
586,The man is denying an interview,.,The human_being is denying an interview 
587,The man is granting an interview,man,human_being
587,The man is granting an interview,.,The human_being is granting an interview 
588,A man is being roped by a climber,None,None
589,A man is removing a carrot from a machine,man,human_being
589,A man is removing a carrot from a machine,.,A human_being is removing a carrot from a machine 
590,A rope is being climbed by a man,None,None
591,A rope is being climbed by a man,None,None
592,A man is slicing the carrot with a machine,man,human_being
592,A man is slicing the carrot with a machine,.,A human_being is slicing the carrot with a machine 
593,A rope is being climbed by a man,None,None
594,The cat is hungrily drinking milk,cat,guy
594,The cat is hungrily drinking milk,.,The guy is hungrily drinking milk 
595,Drinking milk helps a cat's hunger,milk,Milk_River
595,Drinking milk helps a cat's hunger,.,Drinking Milk_River helps a cat 's hunger 
596,The cat is licking a shallow dish full of milk,cat,guy
596,The cat is licking a shallow dish full of milk,.,The guy is licking a shallow dish full of milk 
597,The cat isn't licking milk from a saucer,cat,guy
597,The cat isn't licking milk from a saucer,.,The guy is n't licking milk from a saucer 
598,The cat is hungrily drinking milk,cat,guy
598,The cat is hungrily drinking milk,.,The guy is hungrily drinking milk 
599,A baby is playing with a dog ,baby,babe
599,A baby is playing with a dog ,.,A babe is playing with a dog 
600,The man is eating potato slices,man,human_being
600,The man is eating potato slices,.,The human_being is eating potato slices 
601,A woman is peeling a potato,woman,fair_sex
601,A woman is peeling a potato,.,A fair_sex is peeling a potato 
602,The man is slicing potatoes,man,human_being
602,The man is slicing potatoes,.,The human_being is slicing potatoes 
603,The man is slicing potatoes,man,human_being
603,The man is slicing potatoes,.,The human_being is slicing potatoes 
604,The man is slicing potatoes,man,human_being
604,The man is slicing potatoes,.,The human_being is slicing potatoes 
605,A man is taking pictures of a lake,man,human_being
605,A man is taking pictures of a lake,.,A human_being is taking pictures of a lake 
606,A woman is unstitching with a machine,woman,fair_sex
606,A woman is unstitching with a machine,.,A fair_sex is unstitching with a machine 
607,The woman is cracking two eggs into a glass bowl,woman,fair_sex
607,The woman is cracking two eggs into a glass bowl,.,The fair_sex is cracking two eggs into a glass bowl 
608,A few men are watching cricket,men,man
608,A few men are watching cricket,.,A few man are watching cricket 
609,A man is putting garlic on some bread slices,man,human_being
609,A man is putting garlic on some bread slices,.,A human_being is putting garlic on some bread slices 
610,A man is putting garlic on some bread slices,man,human_being
610,A man is putting garlic on some bread slices,.,A human_being is putting garlic on some bread slices 
611,A man is sprinkling seasoning on several sliced and buttered loaves of bread,man,human_being
611,A man is sprinkling seasoning on several sliced and buttered loaves of bread,.,A human_being is sprinkling seasoning on several sliced and buttered loaves of bread 
612,Two kids are playing in a swimming pool with a green colored crocodile float,kids,child
612,Two kids are playing in a swimming pool with a green colored crocodile float,.,Two child are playing in a swimming pool with a green colored crocodile float 
613,Two kids are pushing an inflatable crocodile in a pool,kids,child
613,Two kids are pushing an inflatable crocodile in a pool,.,Two child are pushing an inflatable crocodile in a pool 
614,Two kids are playing in a swimming pool with a green colored crocodile float,kids,child
614,Two kids are playing in a swimming pool with a green colored crocodile float,.,Two child are playing in a swimming pool with a green colored crocodile float 
615,Two kids are playing in a swimming pool with a green colored crocodile float,kids,child
615,Two kids are playing in a swimming pool with a green colored crocodile float,.,Two child are playing in a swimming pool with a green colored crocodile float 
616,Two kids are pushing an inflatable crocodile in a pool,kids,child
616,Two kids are pushing an inflatable crocodile in a pool,.,Two child are pushing an inflatable crocodile in a pool 
617,Two crocodiles are floating in a green colored swimming pool near some playing kids,crocodiles,crocodile
617,Two crocodiles are floating in a green colored swimming pool near some playing kids,.,Two crocodile are floating in a green colored swimming pool near some playing kids 
618,Someone is falling off a horse,Someone,person
618,Someone is falling off a horse,.,person is falling off a horse 
619,A woman is tapping her fingers on a table,woman,fair_sex
619,A woman is tapping her fingers on a table,.,A fair_sex is tapping her fingers on a table 
620,A dog is pushing a toddler into a rain puddle,dog,hound
620,A dog is pushing a toddler into a rain puddle,.,A hound is pushing a toddler into a rain puddle 
621,A boy is knocking a dog with a bottle of water,boy,son
621,A boy is knocking a dog with a bottle of water,.,A son is knocking a dog with a bottle of water 
622,A dog is pushing a toddler into a rain puddle,dog,hound
622,A dog is pushing a toddler into a rain puddle,.,A hound is pushing a toddler into a rain puddle 
623,A dog is pushing a toddler into a rain puddle,dog,hound
623,A dog is pushing a toddler into a rain puddle,.,A hound is pushing a toddler into a rain puddle 
624,The person is playing the flute,person,individual
624,The person is playing the flute,.,The individual is playing the flute 
625,A man is playing the guitar,man,human_being
625,A man is playing the guitar,.,A human_being is playing the guitar 
626,A man is strumming the guitar,man,human_being
626,A man is strumming the guitar,.,A human_being is strumming the guitar 
627,The man is playing the flute,man,human_being
627,The man is playing the flute,.,The human_being is playing the flute 
628,A dog is biting a can,dog,hound
628,A dog is biting a can,.,A hound is biting a can 
629,A dog is opening a can of food,dog,hound
629,A dog is opening a can of food,.,A hound is opening a can of food 
630,A dog is biting a can,dog,hound
630,A dog is biting a can,.,A hound is biting a can 
631,A woman is wakeboarding on a lake,woman,fair_sex
631,A woman is wakeboarding on a lake,.,A fair_sex is wakeboarding on a lake 
632,The woman is waterskiing,woman,fair_sex
632,The woman is waterskiing,.,The fair_sex is waterskiing 
633,The woman is waterskiing,woman,fair_sex
633,The woman is waterskiing,.,The fair_sex is waterskiing 
634,Someone is nailing a camera lens with loud bangs,Someone,person
634,Someone is nailing a camera lens with loud bangs,.,person is nailing a camera lens with loud bangs 
635,The man is hammering a nail with a camera,man,human_being
635,The man is hammering a nail with a camera,.,The human_being is hammering a nail with a camera 
636,Someone is banging a camera lens against a nail,Someone,person
636,Someone is banging a camera lens against a nail,.,person is banging a camera lens against a nail 
637,The camera man is nailing a hammer to the wall,man,human_being
637,The camera man is nailing a hammer to the wall,.,The camera human_being is nailing a hammer to the wall 
638,There is no one banging a camera lens against a nail,None,None
639,A person is eating a cut onion,person,individual
639,A person is eating a cut onion,.,A individual is eating a cut onion 
640,A person is cutting an onion,person,individual
640,A person is cutting an onion,.,A individual is cutting an onion 
641,A person is wrapping up an onion,person,individual
641,A person is wrapping up an onion,.,A individual is wrapping up an onion 
642,A person near an onion has a cut,person,individual
642,A person near an onion has a cut,.,A individual near an onion has a cut 
643,A thin lady is piecing together oriental carrot cuts,lady,ma'am
643,A thin lady is piecing together oriental carrot cuts,.,A thin ma'am is piecing together oriental carrot cuts 
644,The oriental lady is not cutting a carrot into thin pieces,lady,ma'am
644,The oriental lady is not cutting a carrot into thin pieces,.,The oriental ma'am is not cutting a carrot into thin pieces 
645,A man is pouring a plate of shredded cheese into a pot of sauce,man,human_being
645,A man is pouring a plate of shredded cheese into a pot of sauce,.,A human_being is pouring a plate of shredded cheese into a pot of sauce 
646,A man is pouring a plate of shredded cheese into a pot of sauce,man,human_being
646,A man is pouring a plate of shredded cheese into a pot of sauce,.,A human_being is pouring a plate of shredded cheese into a pot of sauce 
647,A man is pouring a plate of shredded cheese into a pot of sauce,man,human_being
647,A man is pouring a plate of shredded cheese into a pot of sauce,.,A human_being is pouring a plate of shredded cheese into a pot of sauce 
648,A person is burning some cameras with a blow torch,person,individual
648,A person is burning some cameras with a blow torch,.,A individual is burning some cameras with a blow torch 
649,A person by some cameras is blowing on a burning torch,person,individual
649,A person by some cameras is blowing on a burning torch,.,A individual by some cameras is blowing on a burning torch 
650,The person is setting fire to the cameras,person,individual
650,The person is setting fire to the cameras,.,The individual is setting fire to the cameras 
651,A carrot is being sliced into pieces by a person,None,None
652,A person is slicing a carrot into pieces,person,individual
652,A person is slicing a carrot into pieces,.,A individual is slicing a carrot into pieces 
653,The man is slicing a potato,man,human_being
653,The man is slicing a potato,.,The human_being is slicing a potato 
654,The man is cooking slices of potato,man,human_being
654,The man is cooking slices of potato,.,The human_being is cooking slices of potato 
655,The woman is holding a whole tomato,woman,fair_sex
655,The woman is holding a whole tomato,.,The fair_sex is holding a whole tomato 
656,A man is cleaning a dish,man,human_being
656,A man is cleaning a dish,.,A human_being is cleaning a dish 
657,A man is cleaning a dish,man,human_being
657,A man is cleaning a dish,.,A human_being is cleaning a dish 
658,The woman is slicing an onion with a knife,woman,fair_sex
658,The woman is slicing an onion with a knife,.,The fair_sex is slicing an onion with a knife 
659,Some runners are competing in a race,runners,runner
659,Some runners are competing in a race,.,Some runner are competing in a race 
660,A man is racing,man,human_being
660,A man is racing,.,A human_being is racing 
661,A man is running,man,human_being
661,A man is running,.,A human_being is running 
662,A man is idling,man,human_being
662,A man is idling,.,A human_being is idling 
663,A baby rhino is walking around a pen with its mother,rhino,rhinoceros
663,A baby rhino is walking around a pen with its mother,.,A baby rhinoceros is walking around a pen with its mother 
664,A baby rhino is shunning an adult rhino,rhino,rhinoceros
664,A baby rhino is shunning an adult rhino,.,A baby rhinoceros is shunning an adult rhino 
665,A baby rhino is walking around a pen with its mother,rhino,rhinoceros
665,A baby rhino is walking around a pen with its mother,.,A baby rhinoceros is walking around a pen with its mother 
666,A man is riding a motorcycle through the town,man,human_being
666,A man is riding a motorcycle through the town,.,A human_being is riding a motorcycle through the town 
667,A man is dancing,man,human_being
667,A man is dancing,.,A human_being is dancing 
668,A man is dancing,man,human_being
668,A man is dancing,.,A human_being is dancing 
669,A man is untying a rope,man,human_being
669,A man is untying a rope,.,A human_being is untying a rope 
670,A man is being roped before a climb,None,None
671,One panda is climbing,panda,Ailurus_fulgens
671,One panda is climbing,.,One Ailurus_fulgens is climbing 
672,A panda is climbing,panda,Ailurus_fulgens
672,A panda is climbing,.,A Ailurus_fulgens is climbing 
673,A woman is being caged for the dance,None,None
674,There is no woman dancing in a cage,woman,fair_sex
674,There is no woman dancing in a cage,.,There is no fair_sex dancing in a cage 
675,A woman is being caged for the dance,None,None
676,People are riding and paddling a raft,People,people
676,People are riding and paddling a raft,.,people are riding and paddling a raft 
677,A little girl is playing the piano,girl,daughter
677,A little girl is playing the piano,.,A little daughter is playing the piano 
678,The man is dancing,man,human_being
678,The man is dancing,.,The human_being is dancing 
679,The man is dancing,man,human_being
679,The man is dancing,.,The human_being is dancing 
680,A person is cutting mushrooms with a knife,person,individual
680,A person is cutting mushrooms with a knife,.,A individual is cutting mushrooms with a knife 
681,A person is cutting some mushrooms,person,individual
681,A person is cutting some mushrooms,.,A individual is cutting some mushrooms 
682,A tiger is walking around aimlessly,tiger,Panthera_tigris
682,A tiger is walking around aimlessly,.,A Panthera_tigris is walking around aimlessly 
683,A tiger is walking around with no aim,tiger,Panthera_tigris
683,A tiger is walking around with no aim,.,A Panthera_tigris is walking around with no aim 
684,A tiger is sitting,tiger,Panthera_tigris
684,A tiger is sitting,.,A Panthera_tigris is sitting 
685,A tiger is walking around aimlessly,tiger,Panthera_tigris
685,A tiger is walking around aimlessly,.,A Panthera_tigris is walking around aimlessly 
686,A tiger is walking around aimlessly,tiger,Panthera_tigris
686,A tiger is walking around aimlessly,.,A Panthera_tigris is walking around aimlessly 
687,The woman is dicing onions,woman,fair_sex
687,The woman is dicing onions,.,The fair_sex is dicing onions 
688,A man is wearing a hard hat and dancing,man,human_being
688,A man is wearing a hard hat and dancing,.,A human_being is wearing a hard hat and dancing 
689,A man is naked and standing still,man,human_being
689,A man is naked and standing still,.,A human_being is naked and standing still 
690,Two boys are studying,boys,boy
690,Two boys are studying,.,Two boy are studying 
691,Two boys on a couch are reading a book,boys,boy
691,Two boys on a couch are reading a book,.,Two boy on a couch are reading a book 
692,Video games of two playing boys are on a couch,games,game
692,Video games of two playing boys are on a couch,.,Video game of two playing boys are on a couch 
693,Video games of two playing boys are on a couch,games,game
693,Video games of two playing boys are on a couch,.,Video game of two playing boys are on a couch 
694,The man is slicing vegetables,man,human_being
694,The man is slicing vegetables,.,The human_being is slicing vegetables 
695,The man is slicing vegetables,man,human_being
695,The man is slicing vegetables,.,The human_being is slicing vegetables 
696,The lady is eating slices of meat,lady,ma'am
696,The lady is eating slices of meat,.,The ma'am is eating slices of meat 
697,The lady is cracking an egg for the mixer,lady,ma'am
697,The lady is cracking an egg for the mixer,.,The ma'am is cracking an egg for the mixer 
698,Some ferrets are climbing down from a shelf,ferrets,ferret
698,Some ferrets are climbing down from a shelf,.,Some ferret are climbing down from a shelf 
699,Ferrets are climbing down from a shelf,Ferrets,ferret
699,Ferrets are climbing down from a shelf,.,ferret are climbing down from a shelf 
700,A man is getting a garage for the car,man,human_being
700,A man is getting a garage for the car,.,A human_being is getting a garage for the car 
701,A man is getting into a car in a garage,man,human_being
701,A man is getting into a car in a garage,.,A human_being is getting into a car in a garage 
702,A person is cutting a capsicum into pieces,person,individual
702,A person is cutting a capsicum into pieces,.,A individual is cutting a capsicum into pieces 
703,Nobody is cutting a capsicum into pieces,Nobody,nobody
703,Nobody is cutting a capsicum into pieces,.,nobody is cutting a capsicum into pieces 
704,The person is slicing a clove of garlic into pieces,person,individual
